노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
136683838,4868879777,"편강한방연구소 달에서 온 팩 파스형, 4개",판매자배송,생활용품,100.0%,19950,1,19950,1,0,0,0,2023-04-20,A00197911
136683838,4868879805,"편강한방연구소 달에서 온 팩 파스형, 8개",판매자배송,생활용품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
6472829201,5073603882,"GC녹십자 온누리 간에 좋은 밀크씨슬 포르테 건강기능식품, 30정, 1개",판매자배송,식품,0.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
7282313119,5073662170,"녹십자 밀크씨슬+비타민4종+아연 간건강 복합영양제 밀크씨슬 포르테, 1개",판매자배송,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
7282313119,5073662213,"녹십자 밀크씨슬+비타민4종+아연 간건강 복합영양제 밀크씨슬 포르테, 2개",판매자배송,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
7282313134,5073662260,"녹십자 밀크씨슬+비타민4종+아연 간건강 복합영양제 밀크씨슬 포르테, 3개",판매자배송,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
7282313119,5073662300,"녹십자 밀크씨슬+비타민4종+아연 간건강 복합영양제 밀크씨슬 포르테, 5개",판매자배송,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
301362813,5305423396,"프로메이드 얇고 튼튼한 그물망 치실, 100개입, 3개",판매자배송,생활용품,0.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
6621868536,5456714754,"판토모나 비오틴 하이퍼포머, 240정, 1박스",판매자배송,식품,0.0%,58990,1,58990,1,0,0,0,2023-04-20,A00197911
6621868536,5456714771,"판토모나 비오틴 하이퍼포머, 240정, 3박스",판매자배송,식품,100.0%,2384010,16,2682000,18,297990,2,0,2023-04-20,A00197911
6062937906,5568600143,"구전녹용, 80ml, 30포",판매자배송,식품,0.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
6621868536,5591035825,"판토모나 비오틴 하이퍼포머 최적 배합 판토텐산 L시스틴 맥주효모 엽산 아연 셀레늄 영양제, 240정, 6박스",판매자배송,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
196536251,70253489963,"프로메이드 테일러 푸룬 가르시니아 다이어트 젤리 스틱형, 20g, 28개",판매자배송,식품,0.0%,0,0,0,0,0,0,0,2023-04-20,A00197911
